#VERSION 2
#CUTPLANS
{bf37cb67-2422-425e-85b6-28528947205e};{770537a8-4d25-44ee-b265-bd131c6c672a};2324;NP-ROLL70-5000;291
{d91b6f56-f772-440c-b282-e3b39340ca4a};{624f88de-c5a5-41da-816b-154eceeeefca};2445;NP-TF-9010;289
{d91b6f56-f772-440c-b282-e3b39340ca4a};{af970d1d-3a31-4e3e-8008-aa0527963212};2430;NP-TF-9010;291
{145eb8bb-8392-4e48-9156-d2adf6db6920};{b3af6fdd-8eb5-4ab0-9ff9-79959f4be4d4};2275;NP-BAR22-3000;289
{145eb8bb-8392-4e48-9156-d2adf6db6920};{930fdf41-dc55-4114-b507-14a92f562892};2260;NP-BAR22-3000;291
{94728e3e-2c58-4d27-89e3-30f298ff606d};{21775fdf-7213-4bef-9bd4-c8338c6b722b};2420;NP-T-9010;289
{94728e3e-2c58-4d27-89e3-30f298ff606d};{79155e7d-107c-4e0f-acb3-f824a3a65a45};2405;NP-T-9010;291
{50edcecc-7398-43dd-b711-f5a2d0da30ca};{13885574-fd21-40fa-8ffe-cb32e1264a4b};1807;NP-CZ-9010;297
{0986648f-2e92-4c6a-8f0e-3b2754020c87};{e83f6db2-f8f4-45a5-9dc8-02fb2622be58};1819;NP-ROLL70-5000;297
{c672979c-7389-495e-a1e7-4a664363ced0};{172414de-f715-4fbd-aa67-00b09d5d0aa2};3669;NP-ROLL78-7000;298
#LEFTOVERS
{9c6760ae-0dc8-45e5-a4a9-9b310c996378};selejt;0
{c521289f-329c-44b9-96f1-ec1aa3be5505};selejt;0
{931e4592-0b6d-4e5c-a31c-894d79587ef7};selejt;186
{ca5529fa-c805-4cb3-a55a-8c8a17df2bec};selejt;164
{67d34453-9a73-4265-9470-98573b738897};selejt;201
{246a27aa-3e48-44ba-a4ef-21e6d5f814a0};selejt;264
{683afcb2-7edf-4d61-b0e2-ba4eccc50080};selejt;609
{7690434b-4ebd-455f-8d51-e4ef1d99f756};selejt;126.2
{174af7ca-5bce-41e0-9979-8d814800e411};selejt;275.4
{60cc523e-6ccb-4924-a9d5-b0f330882cb6};selejt;325.4
{bf37cb67-2422-425e-85b6-28528947205e};RST-C-332;1331
{d91b6f56-f772-440c-b282-e3b39340ca4a};RST-C-333;1100.4
{145eb8bb-8392-4e48-9156-d2adf6db6920};RST-C-334;1609
{94728e3e-2c58-4d27-89e3-30f298ff606d};RST-C-335;1150.4
{50edcecc-7398-43dd-b711-f5a2d0da30ca};RST-C-336;5171.6
{0986648f-2e92-4c6a-8f0e-3b2754020c87};RST-C-337;4177
{c672979c-7389-495e-a1e7-4a664363ced0};RST-C-338;3327
