#VERSION 2
#CUTPLANS
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};{c9c875e2-e394-44dc-9dac-d5126c7be2ca};2465;NP-TF-9010;293
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};{59f95001-4e28-476f-b1c1-fac911df8ccb};1120;NP-TF-9010;294
{3e88de6a-ff57-4932-bbde-ebad27f62996};{0f8b077c-3eb6-4375-8549-df393fe43e1d};889;NP-ROLL70-5000;290
{3e88de6a-ff57-4932-bbde-ebad27f62996};{20535a00-aee6-40bd-b1b3-160a48135dcf};1119;NP-ROLL70-5000;292
{3e88de6a-ff57-4932-bbde-ebad27f62996};{d0993c40-3204-4bf4-831b-731d2ad4cb5d};2359;NP-ROLL70-5000;293
{3e88de6a-ff57-4932-bbde-ebad27f62996};{432e0929-2e7c-4ce8-9363-4f033fb0f15e};1014;NP-ROLL70-5000;294
{cc81c104-55d4-4415-9274-f431a997cde8};{3b7bee12-721c-41ca-a613-049cf340545c};877;NP-CZ-9010;290
{cc81c104-55d4-4415-9274-f431a997cde8};{6926656f-8c77-4921-b0b4-24380e364539};2312;NP-CZ-9010;291
{cc81c104-55d4-4415-9274-f431a997cde8};{b319fb46-c726-4a76-9b43-e9982cf6c1d6};3657;NP-CZ-9010;298
{5db947ca-071c-4ce9-b0cf-da4321e561a9};{dcfc515e-4785-4012-9381-deb959ac3ea3};1900;NP-T-9010;297
{5db947ca-071c-4ce9-b0cf-da4321e561a9};{96142dd7-0193-4650-9bf1-247ea08976a8};3750;NP-T-9010;298
{32615160-219d-444a-8e83-2d5c9092f460};{47491192-8a5a-497a-a698-92ffcc4e23e9};1925;NP-TF-9010;297
{32615160-219d-444a-8e83-2d5c9092f460};{6ef89a43-c5bf-4995-b750-539e7603d168};3775;NP-TF-9010;298
{77bb2fb1-4f70-47ae-ba20-106faf246b31};{429ef8e2-2b48-4386-9d9d-a6bf069505e3};2339;NP-ROLL70-5000;289
{77bb2fb1-4f70-47ae-ba20-106faf246b31};{e6fe6a5f-b7a7-4005-9b83-0d867ceedc5a};2324;NP-ROLL70-5000;291
{1a22ce31-e515-4469-8471-b52d7fa940a5};{3900dcfb-f1f1-4b5b-a53c-54d4352f2b13};2275;NP-BAR22-3000;289
{1a22ce31-e515-4469-8471-b52d7fa940a5};{536339ac-8c24-413f-92f3-86d5c2f2cc98};2260;NP-BAR22-3000;291
{363166c6-5665-4152-9954-17fb3bc61ac3};{e3391835-3cb5-47d7-abed-bf9d5e8c2a28};2420;NP-T-9010;289
{363166c6-5665-4152-9954-17fb3bc61ac3};{f06edd27-34d3-4284-843a-83b22bf78f21};2405;NP-T-9010;291
{d154ca43-5584-4ede-a160-33c5eb752fb0};{d3413c20-3a83-46f2-b853-8ad165727666};2445;NP-TF-9010;289
{d154ca43-5584-4ede-a160-33c5eb752fb0};{d2cff926-d4ac-4ca6-a0c2-c5c1aa5772f0};2430;NP-TF-9010;291
{c458f001-542c-429c-baac-f8089ec75045};{740dd3a1-b975-4adc-a38d-201ac0c07556};1819;NP-ROLL70-5000;297
{872c7030-c63e-4954-9360-572d5bcc1b42};{a203f0ee-f634-4a23-80fc-7f1361e75586};1807;NP-CZ-9010;297
{d0d55420-2ce3-4162-a915-74862b7f1981};{7ae90538-9a9b-4b80-8aee-18a7bd7c0e12};3669;NP-ROLL78-7000;298
#LEFTOVERS
{3a189857-112b-49b3-9c82-840f58e12377};selejt;0
{71abe924-7f1c-4a5c-a713-56789204a93f};selejt;0
{5f287f06-114a-42ee-b9f9-ca4b786be795};selejt;201
{5ef47e64-7282-4e36-9ac2-2711d64ef74b};selejt;186
{284e7a14-748c-443e-8396-3cd8c9517875};selejt;264
{849b8be0-9cad-4dcc-b712-2e46f97e01a2};selejt;164
{3e88de6a-ff57-4932-bbde-ebad27f62996};selejt;609
{cc81c104-55d4-4415-9274-f431a997cde8};selejt;126.2
{5db947ca-071c-4ce9-b0cf-da4321e561a9};selejt;325.4
{32615160-219d-444a-8e83-2d5c9092f460};selejt;275.4
{77bb2fb1-4f70-47ae-ba20-106faf246b31};RST-C-318;1331
{1a22ce31-e515-4469-8471-b52d7fa940a5};RST-C-319;1609
{363166c6-5665-4152-9954-17fb3bc61ac3};RST-C-320;1150.4
{d154ca43-5584-4ede-a160-33c5eb752fb0};RST-C-321;1100.4
{c458f001-542c-429c-baac-f8089ec75045};RST-C-322;4177
{872c7030-c63e-4954-9360-572d5bcc1b42};RST-C-323;5171.6
{d0d55420-2ce3-4162-a915-74862b7f1981};RST-C-324;3327
