materialBarCode;availableLength_mm;source;optimizationId;barcode;storageBarcode;createdAt;lastSeenAt;status;notFoundCount
NP-BAR12-4000;1730;Manual;;RSM-483;CM1WH;2026-07-16T10:31:30;2026-07-16T10:31:30;unknown;0
NP-BAR12-4000;1640;Manual;;RSM-484;CM1WH;2026-07-16T10:31:35;2026-07-16T10:31:35;unknown;0
NP-BAR12-4000;1560;Manual;;RSM-485;CM1WH;2026-07-16T10:31:40;2026-07-16T10:31:40;unknown;0
NP-BAR12-4000;1460;Manual;;RSM-486;CM1WH;2026-07-16T10:31:46;2026-07-16T10:31:46;unknown;0
NP-BAR12-4000;1200;Manual;;RSM-487;CM1WH;2026-07-16T10:31:53;2026-07-16T10:31:53;unknown;0
NP-BAR12-4000;1100;Manual;;RSM-488;CM1WH;2026-07-16T10:31:56;2026-07-16T10:31:56;unknown;0
NP-CZ-9010;2795;Manual;;RSM-489;CM2WH;2026-07-16T11:20:49;2026-07-16T11:20:49;unknown;0
NP-SZ;1575;Manual;;RSM-492;CM2WH;2026-07-16T11:22:13;2026-07-16T11:22:13;unknown;0
NP-T-9010;1575;Manual;;RSM-494;CM2WH;2026-07-16T11:22:58;2026-07-16T11:22:58;unknown;0
NP-T-9010;1575;Manual;;RSM-495;CM2WH;2026-07-16T11:23:11;2026-07-16T11:23:11;unknown;0
NP-CL-9010;2225;Manual;;RSM-500;CM2WH;2026-07-16T11:24:07;2026-07-16T11:24:07;unknown;0
NP-CZ-9010;1600;Manual;;RSM-501;CM2WH;2026-07-16T11:24:26;2026-07-16T11:24:26;unknown;0
NP-T-7016;2000;Manual;;RSM-502;CM2WH;2026-07-16T11:24:40;2026-07-16T11:24:40;unknown;0
NP-T-7016;1925;Manual;;RSM-503;CM2WH;2026-07-16T11:24:57;2026-07-24T15:42:08;unknown;0
NP-TF;1000;Manual;;RSM-509;CM2WH;2026-07-17T07:53:17;2026-07-17T07:53:17;unknown;0
NP-SZ-7016;2250;Manual;;RSM-511;CM2WH;2026-07-17T07:54:01;2026-07-17T07:54:01;unknown;0
NP-TF-7016;1950;Manual;;RSM-513;CM2WH;2026-07-17T07:54:58;2026-07-17T07:54:58;unknown;0
NP-TF-7016;1125;Manual;;RSM-514;CM2WH;2026-07-17T07:55:11;2026-07-17T07:55:11;unknown;0
NP-T-7016;1175;Manual;;RSM-515;CM2WH;2026-07-17T07:55:29;2026-07-17T07:55:29;unknown;0
NP-CL;2100;Manual;;RSM-517;CM2WH;2026-07-17T07:55:52;2026-07-17T07:55:52;unknown;0
NP-CL;2050;Manual;;RSM-518;CM2WH;2026-07-17T07:56:00;2026-07-17T07:56:00;unknown;0
NP-SZ;3485;Manual;;RSM-519;CM2WH;2026-07-17T07:56:14;2026-07-17T07:56:14;unknown;0
NP-CZ;875;Manual;;RSM-524;CM2WH;2026-07-17T13:29:46;2026-07-17T13:29:46;unknown;0
NP-CLB;1800;Manual;;RSM-525;CM2WH;2026-07-17T13:29:57;2026-07-17T13:29:57;unknown;0
NP-CLB;1350;Manual;;RSM-526;CM2WH;2026-07-17T13:30:03;2026-07-17T13:30:03;unknown;0
